source,target,following,followed_by
SenDanSullivan,ChrisCoons,FALSE,FALSE
SenDanSullivan,SenBillNelson,FALSE,FALSE
SenDanSullivan,marcorubio,FALSE,TRUE
SenDanSullivan,sendavidperdue,TRUE,TRUE
SenDanSullivan,SenatorIsakson,TRUE,TRUE
SenDanSullivan,brianschatz,FALSE,FALSE
SenDanSullivan,maziehirono,TRUE,TRUE
SenDanSullivan,MikeCrapo,TRUE,TRUE
SenDanSullivan,SenatorRisch,TRUE,TRUE
SenDanSullivan,SenDuckworth,TRUE,FALSE
SenDanSullivan,SenatorDurbin,FALSE,TRUE
SenDanSullivan,SenDonnelly,FALSE,TRUE
SenDanSullivan,SenToddYoung,FALSE,TRUE
SenDanSullivan,ChuckGrassley,FALSE,TRUE
SenDanSullivan,joniernst,FALSE,TRUE
SenDanSullivan,SenPatRoberts,TRUE,TRUE
SenDanSullivan,JerryMoran,FALSE,TRUE
SenDanSullivan,SenateMajLdr,TRUE,TRUE
SenDanSullivan,RandPaul,FALSE,TRUE
SenDanSullivan,BillCassidy,FALSE,TRUE
SenDanSullivan,SenJohnKennedy,TRUE,TRUE
SenDanSullivan,SenAngusKing,TRUE,TRUE
SenDanSullivan,SenatorCollins,FALSE,TRUE
SenDanSullivan,ChrisVanHollen,FALSE,FALSE
SenDanSullivan,SenatorCardin,TRUE,FALSE
SenDanSullivan,SenMarkey,TRUE,FALSE
SenDanSullivan,SenWarren,FALSE,TRUE
SenDanSullivan,SenGaryPeters,TRUE,TRUE
SenDanSullivan,SenStabenow,FALSE,FALSE
SenDanSullivan,amyklobuchar,TRUE,TRUE
SenDanSullivan,SenTinaSmith,FALSE,FALSE
SenDanSullivan,SenThadCochran,TRUE,TRUE
SenDanSullivan,SenatorWicker,FALSE,TRUE
SenDanSullivan,clairecmc,FALSE,FALSE
SenDanSullivan,RoyBlunt,TRUE,TRUE
SenDanSullivan,SteveDaines,TRUE,TRUE
SenDanSullivan,SenatorTester,FALSE,TRUE
SenDanSullivan,SenatorFischer,FALSE,TRUE
SenDanSullivan,BenSasse,FALSE,TRUE
SenDanSullivan,SenCortezMasto,TRUE,FALSE
SenDanSullivan,SenDeanHeller,TRUE,TRUE
SenDanSullivan,SenatorShaheen,FALSE,FALSE
SenDanSullivan,SenatorHassan,TRUE,FALSE
SenDanSullivan,CoryBooker,TRUE,TRUE
SenDanSullivan,SenatorMenendez,FALSE,FALSE
SenDanSullivan,MartinHeinrich,FALSE,FALSE
SenDanSullivan,SenatorTomUdall,TRUE,FALSE
SenDanSullivan,SenSchumer,FALSE,TRUE
SenDanSullivan,SenGillibrand,FALSE,TRUE
SenDanSullivan,SenatorBurr,TRUE,TRUE
SenDanSullivan,SenThomTillis,TRUE,TRUE
SenDanSullivan,SenatorHeitkamp,FALSE,TRUE
SenDanSullivan,SenJohnHoeven,TRUE,TRUE
SenDanSullivan,SenSherrodBrown,TRUE,FALSE
SenDanSullivan,senrobportman,TRUE,TRUE
SenDanSullivan,JimInhofe,TRUE,TRUE
SenDanSullivan,SenatorLankford,TRUE,TRUE
